the-house-of-the-devil	Horror,Short
drunken-angel	Crime,Drama,Romance
mama	Comedy,Drama,Family
prison	Drama
gigi	Comedy,Romance
helter-skelter	Comedy,Fantasy,Romance
stray-dog	Crime,Drama,Film-Noir
puce-moment	Short
the-quiet-duel	Drama
the-third-man	Film-Noir,Mystery,Thriller
annie-get-your-gun	Biography,Comedy,Musical
the-blue-lamp	Crime,Drama,Thriller
cold-war	Animation,Comedy,Family
dark-city	Crime,Drama,Film-Noir
in-a-lonely-place	Drama,Film-Noir,Mystery
variety-lights	Drama,Music,Romance
pretty-baby	Comedy
rabbits-moon	Drama,Fantasy,Short
rashomon	Crime,Drama,Mystery
to-joy	Drama
an-american-in-paris	Drama,Musical,Romance
ace-in-the-hole	Drama,Film-Noir
the-day-the-earth-stood-still	Drama,Sci-Fi
the-guest	Drama,Short
the-idiot	Drama,Romance
i-want-you	Drama
boyhood	Drama,War
summer-interlude	Drama,Romance
strangers-on-a-train	Crime,Film-Noir,Thriller
the-hunter	Drama
the-assassin	Crime,Mystery,Thriller
carrie	Drama,Romance
face-to-face	Drama,Western
fargo	Action,Adventure,Western
ikiru	Drama
singin-in-the-rain	Comedy,Musical,Romance
calamity-jane	Comedy,Musical,Romance
childs-play	Comedy,Sci-Fi
mandy	Drama
eaux-dartifice	Short
sawdust-and-tinsel	Drama
how-to-marry-a-millionaire	Comedy,Drama,Romance
invaders-from-mars	Horror,Sci-Fi
never-let-me-go	Adventure,Drama,Romance
the-robe	Drama,History
roman-holiday	Comedy,Romance
summer-with-monika	Drama,Romance
stalag-17	Comedy,Drama,War
i-vitelloni	Comedy,Drama
godzilla	Drama,Horror,Sci-Fi
inauguration-of-the-pleasure-dome	Fantasy,Horror,Short
johnny-guitar	Drama,Western
a-lesson-in-love	Comedy,Drama,Romance
rear-window	Mystery,Thriller
seven-samurai	Action,Adventure,Drama
la-strada	Drama
taxi-driver	Musical,Romance
artists-and-models	Comedy,Musical,Romance
il-bidone	Comedy,Drama
bob-le-flambeur	Crime,Drama,Thriller
the-warriors	Adventure,Drama,History
the-deep-blue-sea	Drama,Romance
guys-and-dolls	Comedy,Crime,Musical
i-live-in-fear	Drama
killers-kiss	Crime,Drama,Film-Noir
dreams	Drama
the-ladykillers	Comedy,Crime
mr-arkadin	Crime,Drama,Film-Noir
the-night-of-the-hunter	Crime,Drama,Film-Noir
la-pointe-courte	Drama
rebel-without-a-cause	Drama
romeo-juliet	Drama,Music,Romance
smiles-of-a-summer-night	Comedy,Romance
the-trouble-with-harry	Comedy,Mystery
the-girl-cant-help-it	Comedy,Music
the-imposter	Drama
the-killing	Crime,Drama,Film-Noir
i-vampiri	Horror
love-me-tender	Drama,Musical,Romance
lust-for-life	Biography,Drama
the-searchers	Adventure,Drama,Western
12-angry-men	Drama
throne-of-blood	Drama,History
night-of-the-demon	Fantasy,Horror,Mystery
paths-of-glory	Drama,War
the-seventh-seal	Drama,Fantasy
wild-strawberries	Drama,Romance
sweet-smell-of-success	Drama,Film-Noir
elevator-to-the-gallows-ascenseur-pour-lechafaud	Crime,Drama,Thriller
cairo-station	Comedy,Crime,Drama
bell-book-and-candle	Comedy,Fantasy,Romance
dunkirk	Action,Drama,History
the-fly	Drama,Horror,Sci-Fi
the-tenant	Drama
the-hidden-fortress	Adventure,Drama
brink-of-life	Drama
a-time-to-love-and-a-time-to-die	Drama,Romance,War
touch-of-evil	Crime,Drama,Film-Noir
the-untouchables	Action,Crime,Drama
les-amants	Drama,Romance
labyrinth	Drama
north-by-northwest	Adventure,Mystery,Thriller
on-the-beach	Drama,Romance,Sci-Fi
the-400-blows	Crime,Drama
rio-bravo	Action,Drama,Western
le-signe-du-lion	Drama
suddenly-last-summer	Drama,Mystery,Thriller
floating-weeds	Drama
a-bout-de-souffle-breathless	Crime,Drama
lavventura	Drama,Mystery
the-devils-eye	Comedy,Drama,Fantasy
la-dolce-vita	Comedy,Drama
the-virgin-spring	Drama
black-sunday	Horror
la-notte	Drama
oceans-eleven	Comedy,Crime,Music
le-petit-soldat	Drama,War
purple-noon-plein-soleil	Crime,Drama,Thriller
psycho	Horror,Mystery,Thriller
shoot-the-piano-player-tirez-sur-le-pianiste	Crime,Drama,Thriller
the-party	Drama
the-bad-sleep-well	Crime,Drama,Thriller
zazie-dans-le-metro	Comedy,Fantasy
blast-of-silence	Crime,Drama,Thriller
the-hustler	Drama,Sport
the-innocents	Horror
jules-et-jim	Drama,Romance
leon-morin-priest	Drama,Romance,War
leviathan	Drama
through-a-glass-darkly	Drama
une-femme-est-une-femme-a-woman-is-a-woman	Comedy,Drama,Romance
yojimbo	Action,Drama,Thriller
cape-fear	Drama,Thriller
carnival-of-souls	Horror,Mystery
cleo-from-5-to-7	Comedy,Drama,Music
weekend	Comedy,Drama,Romance
ivans-childhood	Drama,War
la-jetee	Drama,Romance,Sci-Fi
lawrence-of-arabia	Adventure,Biography,Drama
lolita	Crime,Drama,Romance
where-the-truth-lies	Thriller
the-miracle-worker	Biography,Drama
knife-in-the-water	Drama,Thriller
ride-the-high-country	Drama,Western
sanjuro	Action,Comedy,Crime
to-kill-a-mockingbird	Crime,Drama
vivre-sa-vie	Drama
the-birds	Drama,Horror,Mystery
the-double	Drama,Mystery
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb	Comedy
le-feu-follet	Drama
the-leopard	Drama,History
the-haunting	Horror
hud	Drama,Western
audition	Documentary,Music
contempt-le-mepris	Drama,Romance
winter-light	Drama
the-trial	Drama,Mystery,Thriller
the-quick-and-the-dead	Action,Drama,War
the-servant	Drama
shock-corridor	Drama,Mystery
the-tempest	Drama
black-sabbath	Horror
the-silence	Drama
band-of-outsiders-bande-a-part	Comedy,Crime,Drama
all-these-women	Comedy
a-hard-days-night	Comedy,Music,Musical
lemonade-joe	Adventure,Comedy,Musical
kwaidan	Drama,Fantasy,Horror
marnie	Crime,Drama,Mystery
mary-poppins	Comedy,Family,Fantasy
the-masque-of-the-red-death	Horror
gate-of-flesh	Drama
onibaba	Drama,Horror
the-umbrellas-of-cherbourg	Drama,Musical,Romance
la-peau-douce-the-soft-skin	Drama,Romance
the-return	Drama
scorpio-rising	Music,Short
blood-and-black-lace	Horror,Mystery,Thriller
i-am-cuba	Drama,History,War
the-thin-red-line	Drama,War
une-femme-mariee	Drama
red-beard	Drama
alice	Drama
alphaville	Drama,Mystery,Sci-Fi
doctor-zhivago	Drama,Romance,War
faster-pussycat-kill-kill	Action,Comedy
tabu	Adventure
juliet-of-the-spirits	Comedy,Drama,Fantasy
kustom-kar-kommandos	Music,Short
the-passenger	Crime,Drama
for-a-few-dollars-more	Western
phenomena	Short
repulsion	Drama,Horror,Thriller
the-sound-of-music	Biography,Drama,Family
planet-of-the-vampires	Horror,Sci-Fi
star-trek	Action,Adventure,Sci-Fi
blow-up	Drama,Mystery,Thriller
the-good-the-bad-and-the-ugly	Western
les-creatures	Drama,Fantasy
cul-de-sac	Comedy,Drama,Thriller
fahrenheit-451	Drama,Sci-Fi
misunderstood	Drama
made-in-usa	Comedy,Crime,Mystery
out-of-sight	Comedy
persona	Drama,Thriller
who-are-you-polly-maggoo	Comedy,Drama
the-nun	Drama
seconds	Sci-Fi,Thriller
daisies	Comedy
dr-goldfoot-and-the-girl-bombs	Adventure,Comedy,Sci-Fi
hunger	Drama
whos-afraid-of-virginia-woolf	Drama
away-we-go	Comedy,Music
birdman	Action,Adventure,Animation
speed-racer	Action,Adventure,Animation
spider-man	Adventure,Animation,Family
accident	Drama
the-rover	Adventure,Drama,History
belle-de-jour	Drama
bonnie-and-clyde	Action,Biography,Crime
the-box	Animation,Short
casino-royale	Comedy
la-collectionneuse	Comedy,Drama,Romance
fando-y-lis	Adventure,Fantasy
far-from-the-madding-crowd	Drama,History,Romance
the-fearless-vampire-killers	Comedy,Horror
the-graduate	Comedy,Drama,Romance
in-cold-blood	Biography,Crime,Drama
love-affair-or-the-case-of-the-missing-switchboard-operator	Comedy,Drama,Romance
the-shooting	Western
the-sorcerers	Horror,Sci-Fi
the-trip	Drama
viy	Drama,Fantasy,Horror
the-thief-of-paris	Comedy,Crime,Drama
2001-a-space-odyssey	Adventure,Sci-Fi
blue	Romance,Western
boom	Drama,Thriller
danger-diabolik	Action,Comedy,Crime
les-demoiselles-de-rochefort	Comedy,Drama,Musical
effi-briest	Drama
funny-girl	Biography,Comedy,Drama
the-girl-on-a-motorcycle	Drama,Romance
the-immortal-story	Drama
death-by-hanging	Comedy,Crime,Drama
marketa-lazarova	Drama,History,Romance
witchfinder-general	Biography,Drama,Horror
innocence-unprotected	Comedy,Documentary,Drama
night-of-the-living-dead	Horror
our-lady-of-the-turks	Drama
petulia	Drama,Romance
planet-of-the-apes	Adventure,Sci-Fi
rosemarys-baby	Drama,Horror
targets	Crime,Drama,Thriller
the-thomas-crown-affair	Crime,Drama,Romance
hour-of-the-wolf	Drama,Horror
whos-that-knocking-at-my-door	Drama,Romance
the-garden	Drama,Short
if	Crime,Drama
age-of-consent	Biography,Comedy,Drama
le-boucher	Drama,Thriller
butch-cassidy-and-the-sundance-kid	Biography,Crime,Drama
once-upon-a-time-in-the-west	Western
carne	Drama
easy-rider	Adventure,Drama
eika-katappa	Comedy,Drama
the-wild-child	Drama
the-fall	Documentary,Music
the-girl-who-knew-too-much	Crime,Drama
invocation-of-my-demon-brother	Horror,Short
katzelmacher	Drama
love-is-colder-than-death	Comedy,Crime
lions-love	Comedy,Drama
my-night-at-mauds-ma-nuit-chez-maud	Comedy,Drama,Romance
midnight-cowboy	Drama,Western
fruit-of-paradise	Drama
the-passion-of-anna	Drama
the-rite	Drama
mississippi-mermaid	Crime,Drama,Romance
sweet-charity	Comedy,Drama,Music
a-quiet-place-in-the-country	Drama,Horror
true-grit	Adventure,Drama,Western
the-bird-with-the-crystal-plumage	Horror,Mystery,Thriller
the-wild-bunch	Action,Adventure,Western
wonderwall	Drama
the-american-soldier	Drama
even-dwarfs-started-small	Comedy,Drama
the-ballad-of-cable-hogue	Comedy,Drama,Romance
brewster-mccloud	Comedy,Fantasy
catch-22	Comedy,Drama,War
le-cercle-rouge	Crime,Drama,Thriller
the-conformist	Drama
dodeska-den	Drama
bed-board	Comedy,Drama
edward-ii	Drama,History
five-easy-pieces	Drama
claires-knee	Drama,Romance
gods-of-the-plague	Crime,Drama
joe	Drama,Thriller
a-swedish-love-story	Drama,Romance
little-big-man	Adventure,Comedy,Drama
lucifer-rising	Fantasy,Short
mash	Comedy,Drama,War
death-occurred-last-night	Crime,Drama,Thriller
deep-end	Comedy,Drama,Romance
the-niklashausen-journey	Drama
on-a-clear-day-you-can-see-forever	Comedy,Drama,Fantasy
donkey-skin	Drama,Family,Fantasy
performance	Crime,Drama
puzzle-of-a-downfall-child	Drama
vampyros-lesbos	Drama,Horror
thx-1138	Drama,Sci-Fi,Thriller
the-tribe	Drama
tristana	Drama
cuadecuc-vampir	Documentary,Horror
four-flies-on-grey-velvet	Crime,Mystery,Thriller
the-beguiled	Drama,Thriller,War
carnal-knowledge	Drama
a-clockwork-orange	Crime,Drama,Sci-Fi
the-clowns	Comedy,Documentary
the-devils-backbone	Western
two-english-girls	Drama,Romance
the-devils	Biography,Drama,History
evolution	Animation,Comedy,Fantasy
fata-morgana	Comedy,Documentary,Drama
the-french-connection	Action,Crime,Drama
the-fifth-cord	Crime,Mystery,Thriller
the-go-between	Drama,Romance
harold-and-maude	Comedy,Drama,Romance
the-hired-hand	Drama,Western
jabberwocky	Animation,Fantasy,Short
klute	Crime,Mystery,Thriller
the-last-picture-show	Drama,Romance
lets-scare-jessica-to-death	Drama,Horror,Mystery
a-lizard-in-a-womans-skin	Mystery,Thriller
malpertuis	Drama,Fantasy,Horror
death-in-venice	Drama
wake-in-fright	Drama,Thriller
pink-narcissus	Drama,Fantasy
rio-das-mortes	Comedy
daughters-of-darkness	Horror
a-safe-place	Drama
the-selfish-giant	Animation,Short
silent-running	Drama,Sci-Fi
straw-dogs	Crime,Drama,Thriller
thief	Crime,Drama
el-topo	Drama,Western
two-lane-blacktop	Drama
un-flic	Crime,Thriller
vampire-circus	Horror
vanishing-point	Action,Crime,Thriller
venom	Horror
wr-mysteries-of-the-organism	Comedy,Drama,Fantasy
walkabout	Adventure,Drama
beware-of-a-holy-whore	Comedy,Drama
whity	Drama,Western
willy-wonka-the-chocolate-factory	Family,Fantasy,Musical
aguirre-the-wrath-of-god-aguirre-der-zorn-gottes	Action,Adventure,Biography
the-bitter-tears-of-petra-von-kant	Drama,Romance
dr-phibes-rises-again	Comedy,Horror
fat-city	Drama,Sport
the-godfather	Crime,Drama
heat	Comedy,Drama,Romance
images	Drama,Horror,Mystery
the-king-of-marvin-gardens	Drama
lone-wolf-and-cub-sword-of-vengeance	Action,Adventure
lone-wolf-and-cub-baby-cart-to-hades	Action,Drama
limbo	Drama
lisa-and-the-devil	Horror,Mystery
dont-torture-a-duckling	Horror,Mystery,Thriller
the-other-side-of-the-wind	Drama
four-times-that-night	Comedy,Romance
roma	Comedy,Drama
savages	Comedy,Fantasy
solaris	Drama,Mystery,Sci-Fi
tout-va-bien	Drama
nuits-rouges	Crime,Mystery
american-graffiti	Comedy,Drama
badlands	Crime,Drama
certain-women	Drama
electra-glide-in-blue	Crime,Drama,Mystery
enter-the-dragon	Action,Crime,Drama
the-exorcist	Horror
successive-slidings-of-pleasure-glissements-progressifs-du-plaisir	Fantasy,Horror,Thriller
the-invitation	Comedy,Drama
kamouraska	Drama,History
the-last-detail	Comedy,Drama
the-long-goodbye	Comedy,Crime,Drama
mean-streets	Crime,Drama,Thriller
day-for-night	Comedy,Drama,Romance
paper-moon	Comedy,Drama
papillon	Biography,Crime,Drama
pat-garrett-billy-the-kid	Biography,Drama,Western
scarecrow	Drama
scenes-from-a-marriage	Drama
u-turn	Drama
world-on-a-wire	Crime,Mystery,Sci-Fi
the-wicker-man	Horror,Mystery,Thriller
the-wrestler	Action,Crime,Drama
zardoz	Adventure,Fantasy,Sci-Fi
tenderness-of-the-wolves	Crime,Drama,Thriller
rush	Adventure,Drama,History
alice-doesnt-live-here-anymore	Drama,Romance
amarcord	Comedy,Drama
ali-fear-eats-the-soul	Drama,Romance
a-bigger-splash	Biography,Documentary,Drama
blood-for-dracula	Horror
bring-me-the-head-of-alfredo-garcia	Action,Crime,Drama
california-split	Comedy,Drama
chinatown	Drama,Mystery,Thriller
cockfighter	Drama
immoral-tales	Drama,Romance
the-conversation	Drama,Mystery,Thriller
crash	Drama
daguerreotypes	Documentary
the-dead-dont-die	Horror,Thriller
messiah-of-evil	Horror
dersu-uzala	Adventure,Biography,Drama
the-godfather-part-ii	Crime,Drama
the-enigma-of-kaspar-hauser	Biography,Drama,History
lone-wolf-and-cub-white-heaven-in-hell	Action,Adventure,Drama
lenny	Biography,Drama
manhunter	Crime,Drama
monty-python-and-the-holy-grail	Adventure,Comedy,Fantasy
the-immortals	Action,Adventure,History
the-parallax-view	Drama,Thriller
sweet-movie	Comedy,Drama,Mystery
thieves-like-us	Crime,Drama,Romance
wonder-woman	Fantasy
sunset-song	Drama
fear-of-fear	Drama
barry-lyndon	Adventure,Drama,History
bug	Horror,Mystery,Sci-Fi
f-for-fake	Documentary
fox-and-his-friends	Drama,Romance
the-fortune	Comedy,Crime,Romance
the-story-of-adele-h	Biography,Drama,History
kings-of-the-road-im-lauf-der-zeit	Drama
jaws	Adventure,Drama,Thriller
katie-tippel	Drama
mother-kusters-goes-to-heaven	Drama
nashville	Comedy,Drama,Music
next-door	Short
night-moves	Crime,Mystery,Thriller
one-flew-over-the-cuckoos-nest	Drama
picnic-at-hanging-rock	Drama,Mystery
deep-red	Horror,Mystery,Thriller
the-rocky-horror-picture-show	Comedy,Musical
the-runaways	Adventure,Drama,Family
three-days-of-the-condor	Mystery,Thriller
the-magic-flute	Comedy,Fantasy,Music
small-change	Comedy,Drama
assault-on-precinct-13	Action,Crime,Thriller
bound-for-glory	Biography,Drama,Music
buffalo-bill-and-the-indians-or-sitting-bulls-history-lesson	Comedy,Western
fellinis-casanova	Biography,Drama,History
chinese-roulette	Drama,Thriller
eraserhead	Horror
heart-of-glass	Drama
the-killer-inside-me	Crime,Drama
the-man-who-fell-to-earth	Drama,Sci-Fi
marathon-man	Crime,Thriller
maitresse	Drama,Romance
mr-klein	Crime,Drama,Mystery
the-omen	Horror
pleasantville	Drama
satans-brew	Comedy,Drama,Romance
sebastiane	Drama,Romance
stroszek	Comedy,Drama
todo-modo	Drama
tracks	Drama
3-women	Drama,Mystery,Thriller
the-american-friend	Crime,Drama,Mystery
annie-hall	Comedy,Romance
close-encounters-of-the-third-kind	Drama,Sci-Fi
demon-seed	Horror,Sci-Fi
the-wishing-tree	Drama
house-hausu	Comedy,Horror
the-incredible-hulk	Action,Adventure,Drama
news-from-home	Documentary
petes-dragon	Adventure,Animation,Comedy
the-serpents-egg	Drama,Mystery,Thriller
soldier-of-orange	Drama,Romance,Thriller
sorcerer	Adventure,Drama,Thriller
star-wars	Action,Adventure,Fantasy
suspiria	Horror
lune-chante-lautre-pas	Drama,History
matador	Drama
the-thing	Adventure,Animation,Family
coming-home	Drama,Romance,War
family-nest	Drama
dawn-of-the-dead	Horror,Thriller
days-of-heaven	Drama,Romance
the-deer-hunter	Drama,War
despair	Drama
grease	Musical,Romance
halloween	Horror,Thriller
autumn-sonata	Drama,Music
martin	Drama,Horror
the-kingdom-of-naples	Drama
alien	Horror,Sci-Fi
all-that-jazz	Drama,Music,Musical
camera-buff	Comedy,Drama,Romance
apocalypse-now	Drama,Mystery,War
being-there	Comedy,Drama
the-brood	Horror,Sci-Fi
the-marriage-of-maria-braun	Drama
hardcore	Crime,Drama
life-of-brian	Comedy
mad-max	Action,Adventure,Sci-Fi
mirror-mirror	Drama
nosferatu-the-vampyre-nosferatu-phantom-der-nacht	Drama,Horror
orchestra-rehearsal	Comedy,Drama,Music
quintet	Drama,Mystery,Sci-Fi
stalker	Drama,Sci-Fi
woyzeck	Drama
tinker-tailor-soldier-spy	Drama,Thriller
american-gigolo	Crime,Drama,Mystery
arrival	Documentary,Short
from-the-life-of-the-marionettes	Drama
casino	Adventure,Drama
city-of-women	Comedy,Drama,Fantasy
cruising	Crime,Drama,Mystery
the-elephant-man	Biography,Drama
golem	Sci-Fi
haywire	Biography,Drama
heavens-gate	Adventure,Drama,Western
kagemusha	Drama,History,War
mur-murs	Documentary
pepi-luci-bom-and-other-girls-like-mom	Comedy
popeye	Adventure,Comedy,Family
raging-bull	Biography,Drama,Sport
scanners	Horror,Sci-Fi,Thriller
the-shining	Drama,Horror
spetters	Drama,Romance,Sport
stardust-memories	Comedy,Drama
time-bandits	Adventure,Comedy,Fantasy
union-city	Comedy,Drama,Mystery
an-american-werewolf-in-london	Comedy,Horror
blow-out	Mystery,Thriller
body-heat	Crime,Drama,Romance
diva	Thriller
documenteur	Drama
the-funhouse	Horror
lili-marleen	Drama,Music,Romance
mad-max-2	Action,Adventure,Sci-Fi
ms-45	Crime,Drama,Thriller
possession	Drama,Horror
raiders-of-the-lost-ark	Action,Adventure
roadgames	Mystery,Thriller
road-games	Mystery,Thriller
the-war-of-the-worlds-next-century	Sci-Fi,Thriller
blade-runner	Action,Sci-Fi,Thriller
creepshow	Comedy,Fantasy,Horror
et-the-extra-terrestrial	Family,Sci-Fi
fanny-and-alexander	Drama
first-blood	Action,Adventure
hero	Adventure,Drama,Fantasy
labyrinth-of-passion	Comedy,Drama,Romance
moonlight	Action
one-from-the-heart	Drama,Musical,Romance
pink-floyd-the-wall	Animation,Drama,Fantasy
poltergeist	Horror,Thriller
querelle	Drama
veronika-voss	Drama
the-state-of-things	Drama
widows	Crime,Drama
the-dead-zone	Drama,Horror,Sci-Fi
dark-habits	Comedy,Drama
the-hunger	Drama,Horror
the-king-of-comedy	Comedy,Crime,Drama
the-moon-in-the-gutter	Drama
the-man-who-wasnt-there	Action,Adventure,Comedy
pauline-at-the-beach-pauline-a-la-plage	Comedy,Drama,Romance
first-name-carmen	Crime,Drama,Music
rumble-fish	Crime,Drama,Romance
scream	Horror,Mystery
super	Action,Crime,Drama
videodrome	Horror,Sci-Fi,Thriller
life-is-a-bed-of-roses	Comedy,Drama,Musical
the-master	Action,Adventure,Drama
after-hours	Drama,Short
love-unto-death	Drama,Romance
blood-simple	Crime,Drama,Thriller
the-brother-from-another-planet	Comedy,Sci-Fi
the-company-of-wolves	Drama,Fantasy,Horror
the-cotton-club	Crime,Drama,Music
a-summer-at-grandpas	Drama
dune	Action,Adventure,Sci-Fi
and-the-ship-sails-on	Drama,History,Music
after-the-rehearsal	Drama
ghostbusters	Action,Comedy,Fantasy
the-illusionist	Comedy
indiana-jones-and-the-temple-of-doom	Action,Adventure
a-nightmare-on-elm-street	Horror
once-upon-a-time-in-america	Crime,Drama
almanac-of-fall	Drama
paris-texas	Drama
repo-man	Comedy,Crime,Sci-Fi
starman	Romance,Sci-Fi
stranger-than-paradise	Comedy,Drama
streets-of-fire	Action,Crime,Drama
the-terminator	Action,Sci-Fi
z-for-zachariah	Comedy,Drama
what-have-i-done-to-deserve-this	Comedy,Drama
half-nelson	Comedy,Drama
the-angelic-conversation	Drama
back-to-the-future	Adventure,Comedy,Sci-Fi
the-coca-cola-kid	Comedy,Drama
day-of-the-dead	Horror,Thriller
detective	Comedy,Crime,Drama
